1,アオリイカ,,,
1,アカオビハナダイ,,,
1,アカクラゲ,,,
1,アカスジイソハゼ,,,
1,アカテンモチノウオ,,,捕食するときは横になる
1,アカテンモチノウオ(幼魚),,,成魚はタオではあまりみない
1,アカハタ,,,
1,アカホシイソハゼ,,,
1,アカマダラハタ,,,
1,アカマツカサ,,,
1,アカミシキリ,,,なまこの一種
1,アズキハタ,,,
1,アトヒキテンジクダイダマシ,,,
1,アヤメエビス,,,
1,イエローテールチューブリップ,Yellowtail tubelip,,
1,イエローバンドフュージュラー,Yellowband fusiler,,
1,イソスズメダイ,,,
1,イトマンクロユリハゼ,,,
1,イトマンヒメユリハゼ,,,イトマン+ヒメユリハゼ。勝手な名前。図鑑でhitしない。
1,イバラカンザシ,クリスマスツリーワーム／Christmastreewarm,,ゴカイの一種　コブハナサンゴに住むことが多い
1,イボイソバナガニ,,,鼻が長いのがオス
1,ウミキノコ,,,裏側にハゼがいることあり!
1,エルニドユカタハタ,,,
1,エンペラーフィッシュ,Empelor　fish,,日本にいないフエダイの仲間 
1,オオイカリナマコ,,,
1,オオウミウマ,,,
1,オオウミウマ（幼魚）,,,
1,オオカマス,ソートゥースバラクーダ／Sawtooth　baracuda,,
1,オオクチイケカツオ,,,
1,オオモンハタ,,,
1,オオモンハタ（幼魚）,,,
1,オキザヨリ,,,
1,オシャレカクレエビ,,,
1,オジロトラギス,,,天ぷらがうまい。スネ夫に似てる
1,オトヒメエビ,,,
1,オトメハゼ,,,
1,オトメベラ,,,
1,オドリカクレエビ,,,
1,オニカマス,,,
1,オニハゼ,,,砂の色で体色が変わる
1,オニヒトデ,,,
1,オビイシヨウジ,,,
1,オヤビッチャ,,,
1,カエルウオ,,,ベラ
1,カザリキュウセン,,,
1,カスミヤライイシモチ,,,
1,カスリヘビギンポ,,,
1,カッチュウソウ,,,白いサンゴについているポチポチ
1,ガラスハゼ,,,
1,カンザシヤドカリ,,,
1,キイロイボウミウシ,,,
1,キイロイロイボウミウシ,,,
1,キクメイシ,,,サンゴの一種
1,ギチベラ,,,黄色or黒or灰色など色彩変異の魚
1,キツネフエダイ,,,
1,キツネフエフキ,,,
1,キハッソク,,,世界では珍しい。皮膚に毒あり
1,キビレブダイ,,,
1,ギンガハゼ（黄色固体）,,,
1,ギンガハゼ,,,
1,ギンガメアジ,,,
1,キンセンイシモチ,,,
1,キンセンフエダイ,,,
1,クチヒゲオトメウミウシ,,,
1,クラカオスズメダイ,,,
1,クリーナーパイプフィッシュ,Cleener pipefish,,
1,グリーンクロミス,Green Chromith,ダスキークロミス,
1,クリプトセントロス,,,イトヒキハゼの仲間
1,クロウミウマ,,,
1,クロオビハゼ,,,
1,クロコショウダイ,,,
1,クロスジイソハゼ,,,
1,クロナマコ,,,
1,クロヒトデ,,,
1,クロヘリイトヒキベラ,,,
1,クロヘリイトヒキベラ（幼魚）,,,
1,クロホシフエダイ,,,
1,クロリボンスズメダイ,,,
1,コイボイボウミウシ,,,
1,コイボウミウシ,,,
1,コガネアジ,,,
1,コガネシマアジ,,,
1,コバンアジ,,,
1,コバンヒメジ,,,
1,コブハマサンゴ,,,
1,ゴマアイゴ,,,最高級魚で美味しい(刺身もいける高級魚)
1,ゴマフエダイ,,,
1,ゴマモンガラ,トリガーフィッシュ／Triggerfish,,
1,コモンヤドカリ,,,
1,コモンヤドカリ（子供）,,,
1,コロダイ,,,
1,コロダイ（幼魚）,,,
1,ゴンズイ,,,
1,ゴンズイ（幼魚）,,,
1,ササムロ,,,沖縄でいうグルクン
1,サバヒー,,,
1,サビウツボ,,,白目の大きい／黒目が小さい
1,サラサハゼ,,,黒色個体もいる
1,サラサハゼ（幼魚),,,
1,サンゴアイゴ,,,
1,サンゴガニ,,,
1,シカクナマコ,,,
1,シチセンムスメベラ（幼魚）,,,
1,シノビハゼ,,,
1,シマスズメダイ,,,
1,シマタレクチベラ,,,
1,ジャヴァラビットフィッシュ,Javarabbitfish,,アイゴ科
1,ジュウモンジサラサハゼ,,,
1,シリキルリスズメダイ,,,
1,シリキルリスズメダイ（幼魚）,,,
1,シンジュタマガシラ,,,イトヨリダイ科
1,シンジュタマガシラ(幼魚),,,
1,スケロクウミタケハゼ,,,
1,スザクサラサエビ,,,ウニの近くに住んでいる
1,スジアラ,,,
1,スジアラ（幼魚）,,,
1,スジブダイ,,,
1,スズメダイモドキ,,,成長すると20cmくらいになる
1,スタレヤライイシモチ,,,オスは口内保育(ネンブツダイ科)オスが口に卵を3週間含んで育てる。
1,スダレヤライイシモチ（幼魚）,,,
1,スミツキアトヒキテンジクダイ,,,ヒレの近くに点
1,セスジミノウミウシ,,,
1,セミハタ,,,
1,センテンイロウミウシ,,,
1,ソウシハギ,,,
1,ソラスズメダイ,,,
1,ソリハシコモンエビ,,,
1,タイワンカマス,イエローテールバラクーダ,,
1,タイワンカマス(幼魚）,イエローテールバラクーダ,,
1,タイワンタマガシラ,ホワイトチーク／Whitecheek,,日本では見れない
1,タカラガイ,,,
1,ダスキークロミス,Dusky Chromis,,スズメダイ科
1,タスジコバンハゼ,,,
1,ダツ,,,
1,タテジマヘビキンポ,,,
1,タテヒダイボウミウシ,,,
1,タテフエダイ,,,
1,タマゴイロイボウミウシ,,,
1,タレクチベラ,,,
1,タレクチベラ（幼魚）,,,
1,ダンダラスズメダイ,,,
1,チーターウミウシ,,,
1,チャイロマルハタ,,,
1,チョウチョウコショウダイ,,,
1,チョウチョウコショウダイ(成魚),,,
1,ツキチョウチョウウオ,ホンコンバタフライフィッシュ／hongkong butterfly fish,,世界的には少なめ／日本でレア
1,ツノキイボウミウシ,,,
1,ツマグロハタンポ,,,
1,ツムブリ,レインボーランナー／Rainbow Runner,,
1,ツバメウオ,,,
1,デバスズメダイ,,,
1,テンジクスズメダイ,,,
1,トウアカクマノミ,,,
1,トウアカクマノミ（幼魚）,,,
1,トウゾクテッポウエビ,,,ギンガハゼと一緒にいるエビ
1,トゲトサカ,,,ソフトコーラル(水分含まず)
1,トックリガンガゼモドキ,,,
1,トラギス,,,
1,ナガサキスズメダイ,,,
1,ナミスズメダイ,,,
1,ナミハタ,,,
1,ナミハタ（幼魚）,,,
1,ナンヨウツバメウオ,,,ヒレに黒が入る
1,ニシキキュウセン,,,
1,ニシキテッポウエビ,,,
1,ニジギンポ,,,
1,ニジョウサバ,,,
1,ニセクロホシフエダイ,,,BBQだとホワイトスナッパーとして食べられるinタオ／黄色＋線、点がひとつ／クロホシフエダイは黄色じゃない
1,ネオンピグミーゴビー,Neon Pigmy Goby,,
1,ネズミフグ,,,
1,ネッタイスズメダイ,,,
1,ネッタイスズメダイ,,,
1,ハイブリッドチョウチョウウオ,,,
1,ハクセンタマガシラ,,,
1,ハシナガウバウオ,,,
1,ハシナガチョウチョウウオ,,,世界でレア
1,ハタタテギンポ,,,
1,ハタタテサンカクハゼ,,,
1,ハタタテダイ,,,
1,ハナギンチャク,,,
1,ハナグロイソハゼ,,,
1,ハナハゼ,,,
1,バブルコーラルシュリンプ,Bubble Coral Shrimp,,
1,パンダダルマハゼ,,,
1,ヒゲハギ,,,
1,ヒトスジイシモチ,,,
1,ヒトスジキュウリイシ,,,
1,ヒトスジタマガシラ,,,
1,ヒノマルハゼ,,,
1,ヒブサミノウミウシ,,,
1,ヒブダイ,,,
1,ヒメアイゴ,,,おいしいがせびれに毒あり
1,ヒメカザリハゼ,,,
1,ヒメキモガニ,,,
1,ヒメダテハゼ,,,
1,ヒメタマガシラ,,,
1,ヒメタマガシラ（幼魚）,,,
1,ヒメフエダイ,,,
1,ヒメホシハゼ,,,
1,ヒメユリハゼ,,,
1,ヒラムシ,,,
1,ヒレグロハタ,,,
1,ヒレナガスズメダイ,,,
1,ヒレナガスズメダイ(幼魚),,,成魚は真っ黒
1,ヒレフリサンカクハゼ,,,
1,フィラメンタスブレニー,,,
1,フウライボラ,,,
1,フジナミウミウシ,,,
1,ブダイ,,,
1,フタスジタマガシラ,,,
1,フタスジリュウキュウスズメダイ,インディアンダシラス,,
1,フタスジリュウキュウスズメダイ（幼魚）,インディアンダシラス,,
1,フタホシタカノハハゼ,,,
1,フタホシタカノハハゼ(黄色固体）,,,
1,ブチウミウシ,,,
1,ブラックシュリンプゴビー,Black Shrimp Goby,,イトヒキハゼの仲間
1,オオカマス,ブラックフィンバラクーダー／Blackfin Baracuda,,
1,ブルースポッテッドスティングレイ,Bluespotted Stingray,,
1,ベニツケタテガミカエルウオ,,,
1,ホウセキキントキ,,,
1,ホシカイワリ,,,アジ
1,ホシカザリハゼ,,,
1,ホシゾラウミウシ,,,
1,ホシゾラハゼ,,,
1,ホソヒラアジ,,,
1,ホソヒラアジ,,,
1,ホホスジモチノウオ,,,
1,ホホスジモチノウオ(幼魚),,,
1,ホンケヤリムシ,,,
1,ホンソメワケベラ,,,
1,ホンソメワケベラ（幼魚）,,,
1,マスクドシュリンプゴビー,Masked Shrimp Goby,,ダテハゼ科
1,マテアジ,,,
1,マブタシマアジ,,,
1,ミカヅキツバメウオ,,,
1,ミスジアカヒレイシモチ,,,
1,ミズタマハゼ,,,
1,ミツバモチノウオ,,,ナポレオンフィッシュの仲間
1,ミツボシクロスズメダイ,,,
1,ミツボシクロスズメダイ(幼魚),,,大人になると点が消える
1,ミナミウシノシタ,,,
1,ミナミハコフグ,,,
1,ミナミハコフグ（幼魚）,,,
1,ミナミホタテウミヘビ,,,
1,ミヤコキセンスズメダイ,,,
1,ムラルゴビー,,,
1,メイタイシガキフグ,,,
1,メガネスズメダイ,,,
1,メタリックシュリンプゴビー,Metallic Shrimp Goby,,ハゼマニア向け
1,モザンビークエンペラー,,,
1,モヨウハタ,ヘキサゴングルッパー／Hexagon Grouper,,
1,モンジャウミウシ,,,
1,モンツキスズメダイ,,,
1,ヤイトハタ,,,
1,ヤシャベラ,,,メスは色が薄い
1,ヤスジチョウチョウウオ,,,阪神タイガース／日本ではレア
1,ヤミウツボ,,,
1,ヤミウツボ（幼魚）,,,
1,ヤミハタ,,,白いラインは成長すると消える
1,ヤミハタ(幼魚),,,
1,ユカタハゼ,,,
1,ユタカイシモチ,,,一本線
1,ユタカハゼ,,,
1,ユメウメイロ,,,グルクンの一種でから揚げがうまい!
1,ヨウジウオ,,,
1,ヨコシマサワラ,,,
1,ヨコスジフエダイ,,,
1,ヨツメトラギス,,,
1,ヨメヒメジ,,,
1,ヨロイウオ,,,
1,リザイボウミウシ,,,
1,リュウキュウヤライイシモチ,,,
1,リュウキュウヤライイシモチ(幼魚),,,
1,ルリホシスズメダイ,,,
1,レッドマージンドシュリンプゴビー,Redmargined Shrimp Goby,,
1,ロクセンスズメダイ,,,
1,ロクセンヤッコ,,,にがい
1,ワカヨウジ,,,
1,ワヌケヤッコ,,,
1,ワンスポットダムゼル,Onespot Dumzel,,
